timestamp,temp_inst,umid_inst,pto_orvalho_inst
2020-01-01 00:00:00,26.3,75,21.6
2020-01-01 01:00:00,26.5,74,21.5
2020-01-01 02:00:00,26.2,75,21.4
2020-01-01 03:00:00,26.2,76,21.6
2020-01-01 04:00:00,25.4,80,21.7
2020-01-01 05:00:00,25.4,82,22.0
2020-01-01 06:00:00,25.7,78,21.6
2020-01-01 07:00:00,25.6,77,21.2
2020-01-01 08:00:00,25.7,78,21.4
2020-01-01 09:00:00,25.7,78,21.6
