5,136,1305,20.81,54.46,328.1,1011,0,1.429,307,45
5,136,1310,20.55,53.73,320.8,1011,0,1.472,309.8,29.53
5,136,1315,20.61,53.69,306.8,1011,0,1.212,336.3,42.98
5,136,1320,20.68,52.16,286.8,1011,0,1.25,354.8,25.55
5,136,1325,20.68,52.5,321.8,1011,0,1.352,341.1,22.87
5,136,1330,20.88,54.03,275.1,1011,0,1.17,342.9,28.73
5,136,1335,20.78,53.93,259.3,1011,0,1.226,2.764,19.56
5,136,1340,20.88,52.03,291.6,1011,0,.701,10.93,16.32
5,136,1345,21.14,52.99,278.6,1011,0,.912,4.758,26.83
5,136,1350,21.41,52,355.3,1011,0,.623,331.7,43.88
5,136,1355,21.48,48.3,265.5,1011,0,1.075,329.9,22.85
5,136,1400,21.38,48.07,250,1010,0,.407,319.3,26.55
60,2004,136,1400,21.58,1353,20.51,1322,56.75,1322,46.67,1358,1010,0,1.069,340.9,36.24
5,136,1405,21.41,48.73,246,1010,0,.226,17.59,40.64
5,136,1410,21.64,46.97,262.6,1010,0,.363,359.6,31.83
5,136,1415,21.77,48.23,260.5,1010,0,.232,5.96,33.67
5,136,1420,21.7,48.76,353.1,1010,0,.193,209.4,50.72
5,136,1425,22.47,46.33,0,1010,0,.393,307.2,48.21
5,136,1430,22.6,49.29,276.9,1010,0,.236,306.7,40.29
5,136,1435,22.86,45.87,0,1010,0,.295,315.4,30.6
5,136,1440,23.36,47.03,0,1010,0,.421,56.91,21.13
5,136,1445,23.26,46.73,0,1010,0,.36,7.06,27.64
5,136,1450,23.49,43.17,0,1010,0,.517,300.7,32.81
5,136,1455,22.86,43.33,0,1010,0,.751,76.8,48.18
5,136,1500,22.09,47.52,0,1010,0,2.179,170.1,19.71
60,2004,136,1500,23.56,1448,21.34,1400,55.68,1431,41.87,1452,1010,0,.514,351.8,71.9
5,136,1505,22.25,43.59,0,1010,0,1.788,154.6,16.38
5,136,1510,22.48,45.39,0,1010,0,1.29,178.8,17.44
5,136,1515,22.78,44.19,0,1010,0,.922,230.1,24.2
5,136,1520,23.17,42.86,356.5,1010,0,.575,231.5,48.82
5,136,1525,23.11,41.26,342.9,1010,0,.856,290.8,29.39
5,136,1530,23.17,41.13,327.8,1011,0,.933,291.5,38.19
5,136,1535,23.17,41.82,312.9,1011,0,.743,206.7,37.45
5,136,1540,22.6,43.12,298.2,1011,0,1.117,202.6,23.45
5,136,1545,22.4,45.91,284.8,1011,0,1.193,186.4,17.15
5,136,1550,22.5,44.45,271.2,1011,0,.799,181.5,28.93
5,136,1555,23.07,42.95,256.3,1011,0,.214,208.8,47.93
5,136,1600,23.46,41.92,242.2,1011,0,.23,237.4,31.2
60,2004,136,1600,23.5,1559,21.85,1501,51.28,1503,40.23,1556,1011,0,.888,211.4,51.44
5,136,1605,23.4,39.96,227.7,1011,0,.192,195.8,58.41
5,136,1610,23.6,39.46,219.9,1011,0,.428,339.5,24.58
5,136,1615,23.73,40.16,216.9,1011,0,.122,24.37,33.55
5,136,1620,23.66,39.59,100,1011,0,.293,336.6,30.14
5,136,1625,23.72,40.16,206,1011,0,.193,311.9,29.57
5,136,1630,23.69,45.27,183.7,1011,0,.436,264.7,38.78
5,136,1635,22.62,49.56,152.7,1011,0,.994,257.3,18.31
5,136,1640,21.89,52.02,137,1011,0,.537,232.8,8.92
5,136,1645,21.73,51.12,86.2,1011,0,.114,216.4,21.95
5,136,1650,21.33,51.35,90.6,1011,0,.623,192.9,11.31
5,136,1655,21.03,56.81,28.3,1011,0,1.221,234.4,16.03
5,136,1700,20.8,58.34,26.5,1011,0,1.265,223.6,31.73
60,2004,136,1700,23.99,1616,20.76,1659,60.1,1658,38,1616,1011,0,.535,255.4,56.66
5,136,1705,20.47,57.48,17.62,1011,0,1.497,186.2,13.89
5,136,1710,20.3,59.34,14.58,1011,0,.667,182,23.11
5,136,1715,20.31,58.41,13,1011,0,.264,94.8,21.37
5,136,1720,20.11,60.11,9.64,1011,0,.158,74.8,5.669
5,136,1725,20.21,60.84,6.129,1011,0,.269,66.34,21.69
5,136,1730,19.62,64.07,4.214,1011,0,.632,78.8,13.04
5,136,1735,19.49,62.31,2.614,1011,0,1.152,136.1,21.76
5,136,1740,19.09,66.31,1.42,1011,0,.868,79.7,17.97
5,136,1745,18.66,67.87,.631,1011,0,.653,84,13.03
5,136,1750,18.6,67.51,.225,1011,0,.532,127.2,17.95
5,136,1755,18.3,68.41,.045,1011,0,.561,101.1,15.95
5,136,1800,18.14,69.05,0,1012,0,1.244,91.3,11.09
60,2004,136,1800,20.8,1700,18.14,1758,69.55,1758,56.25,1712,1012,0,.708,107.1,40.17
5,136,1900,18.37,55.87,0,1013,0,.405,282.7,48.21
60,2004,136,1900,18.56,1856,17.52,1823,72.8,1824,54.7,1856,1013,0,.419,82.5,79.1
60,2004,136,2000,18.47,1903,16.54,1959,62.13,1958,50.55,1916,1013,0,.388,26.34,50.31
60,2004,136,2100,18.08,2058,16.35,2022,61.21,2021,47.43,2056,1014,0,.861,58.99,52.07
60,2004,136,2200,17.95,2100,14.99,2147,68.11,2153,48.06,2100,1015,0,.429,73.4,35.13
60,2004,136,2300,15.12,2200,14.09,2243,73.1,2243,65.35,2256,1015,0,.205,79.5,29.34
60,2004,136,2400,14.89,2310,14.13,2344,70.8,2342,64.75,2316,1016,0,.469,98.7,28.58
24,2004,136,2400,23.99,14.09,18.02,91.1,38,64.1,368.6,1231,6.595,1012,0,.557,29.39,66.83,12.58
